Infrastucture_ID	Network_ID	Technology	Production	Year	Lifetime	Nameplate_Capacity	Maximum_Utilization	Length	Capital_Cost	Fixed_Operating_Cost	Variable_Operating_Cost	Storage_Technology	Storage_Capacity
INFR_WECC_AZ_Existing_or_Planned_Electrolysis	WECC_AZ	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WEC_CALN_Existing_or_Planned_Electrolysis	WEC_CALN	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_ID_Existing_or_Planned_Electrolysis	WECC_ID	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_NM_Existing_or_Planned_Electrolysis	WECC_NM	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_MT_Existing_or_Planned_Electrolysis	WECC_MT	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_WY_Existing_or_Planned_Electrolysis	WECC_WY	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_NNV_Existing_or_Planned_Electrolysis	WECC_NNV	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_SNV_Existing_or_Planned_Electrolysis	WECC_SNV	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_PNW_Existing_or_Planned_Electrolysis	WECC_PNW	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_SCE_Existing_or_Planned_Electrolysis	WECC_SCE	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_IID_Existing_or_Planned_Electrolysis	WECC_IID	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WEC_LADW_Existing_or_Planned_Electrolysis	WEC_LADW	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_SF_Existing_or_Planned_Electrolysis	WECC_SF	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WEC_SDGE_Existing_or_Planned_Electrolysis	WEC_SDGE	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_UT_Existing_or_Planned_Electrolysis	WECC_UT	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_CO_Existing_or_Planned_Electrolysis	WECC_CO	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_TAZ_5634_PipelineNodalStorage_3_2026	TAZ_5634	GH2 Pipeline Nodal Storage	No	2026	15	258022.75840000017	1.0	0.0	0.0	0.0	0.0	GH2 Pipeline Salt Cavern Storage	0.0
INFR_TAZ_5634_PipelineNodalStorage_5_2026	TAZ_5634	GH2 Pipeline Station (700bar)	No	2026	20	638750.0	1.0	0.0	6.335251875387264e6	663445.6571994068	0.0	No Storage	0.0
INFR_TAZ_1624_PipelineNodalStorage_3_2026	TAZ_1624	GH2 Pipeline Nodal Storage	No	2026	15	221058.26030000002	1.0	0.0	0.0	0.0	0.0	GH2 Pipeline Salt Cavern Storage	0.0
INFR_TAZ_1624_PipelineNodalStorage_5_2026	TAZ_1624	GH2 Pipeline Station (700bar)	No	2026	20	44211.65207	1.0	0.0	1.186135665533569e6	133825.4089260749	0.0	No Storage	0.0
INFR_TAZ_1624_link_798_PipelineNodalStorage_2_2026	link_798	GH2 Pipeline (transmission)	No	2026	50	591180.8601415	1.0	6.0	9.821537955455503e7	3.25448799574931e6	0.0	No Storage	0.0
INFR_TAZ_6005_PipelineNodalStorage_5_2026	TAZ_6005	GH2 Pipeline Station (700bar)	No	2026	20	547500.0	1.0	0.0	5.430466e6	568693.898069964	0.0	No Storage	0.0
INFR_TAZ_2313_PipelineNodalStorage_3_2026	TAZ_2313	GH2 Pipeline Nodal Storage	No	2026	15	1.0620258788400001e6	1.0	0.0	0.0	0.0	0.0	GH2 Pipeline Salt Cavern Storage	0.0
INFR_TAZ_2313_PipelineNodalStorage_5_2026	TAZ_2313	GH2 Pipeline Station (700bar)	No	2026	20	547500.0	1.0	0.0	5.430466e6	568693.898069964	0.0	No Storage	0.0
INFR_TAZ_2313_link_422_PipelineNodalStorage_2_2026	link_422	GH2 Pipeline (transmission)	No	2026	50	126624.1849	1.0	59.0	4.430697692906645e7	1.468166443968101e6	0.0	No Storage	0.0
INFR_TAZ_2313_link_471_PipelineNodalStorage_2_2026	link_471	GH2 Pipeline (transmission)	No	2026	50	727123.9227138	1.0	61.0	1.5105467262639177e9	5.005383281050858e7	0.0	No Storage	0.0
INFR_TAZ_2313_link_422_PipelineNodalStorage_4_2026	link_422	GH2 Pipeline (transmission)	No	2026	50	2.1954546414e6	1.0	59.0	3.1141217932577953e7	1.117380064817995e6	0.0	No Storage	0.0
INFR_TAZ_6108_PipelineNodalStorage_3_2026	TAZ_6108	GH2 Pipeline Nodal Storage	No	2026	15	1.5431964426e6	1.0	0.0	0.0	0.0	0.0	GH2 Pipeline Salt Cavern Storage	0.0
INFR_TAZ_6108_link_172_PipelineNodalStorage_2_2026	link_172	GH2 Pipeline (transmission)	No	2026	50	992875.0897	1.0	19.0	8.772637973384835e8	2.9069220222864155e7	0.0	No Storage	0.0
INFR_TAZ_6108_link_174_PipelineNodalStorage_2_2026	link_174	GH2 Pipeline (transmission)	No	2026	50	994440.7497	1.0	26.0	1.204255664994943e9	3.9904499919609375e7	0.0	No Storage	0.0
INFR_TAZ_6108_link_170_PipelineNodalStorage_4_2026	link_170	GH2 Pipeline (transmission)	No	2026	50	509678.3091	1.0	21.0	2.5550461563560352e8	8.466461242790647e6	0.0	No Storage	0.0
INFR_TAZ_2312_PipelineNodalStorage_3_2026	TAZ_2312	GH2 Pipeline Nodal Storage	No	2026	15	73000.0	1.0	0.0	0.0	0.0	0.0	GH2 Pipeline Salt Cavern Storage	0.0
INFR_TAZ_2312_PipelineNodalStorage_5_2026	TAZ_2312	GH2 Pipeline Station (700bar)	No	2026	20	73000.0	1.0	0.0	1.375298672020482e6	155167.66970819994	0.0	No Storage	0.0
INFR_TAZ_165_PipelineNodalStorage_5_2026	TAZ_165	GH2 Pipeline Station (700bar)	No	2026	20	730000.0	1.0	0.0	7.239999e6	739442.2676270761	0.0	No Storage	0.0
INFR_TAZ_3009_link_1332_PipelineNodalStorage_2_2026	link_1332	GH2 Pipeline (transmission)	No	2026	50	182500.0	1.0	33.0	5.147864339890284e7	1.7058084766258867e6	0.0	No Storage	0.0
INFR_TAZ_3009_link_1332_PipelineNodalStorage_4_2026	link_1332	GH2 Pipeline (transmission)	No	2026	50	2.035705067e6	1.0	33.0	1.675696168995096e7	601257.63159964	0.0	No Storage	0.0
INFR_TAZ_3400_link_628_PipelineNodalStorage_2_2026	link_628	GH2 Pipeline (transmission)	No	2026	50	111165.67818000002	1.0	64.0	3.7043336003371894e7	1.2274767240350277e6	0.0	No Storage	0.0
INFR_TAZ_1435_PipelineNodalStorage_3_2026	TAZ_1435	GH2 Pipeline Nodal Storage	No	2026	15	61891.786579999985	1.0	0.0	0.0	0.0	0.0	GH2 Pipeline Salt Cavern Storage	0.0
