Network ID	Position	X	Y
Cavern_0	center	-106.2873	45.4229
Cavern_1	center	-105.8071	44.8698
Cavern_10	center	-111.1829	41.943
Cavern_11	center	-110.8448	42.2368
Cavern_12	center	-109.1173	36.953
Cavern_13	center	-108.5707	37.7486
Cavern_14	center	-108.7209	36.9395
Cavern_15	center	-109.6079	38.2315
Cavern_16	center	-109.6528	34.5159
Cavern_17	center	-108.7064	34.4927
Cavern_18	center	-112.2159	33.4235
Cavern_19	center	-116.5725	35.1015
Cavern_2	center	-103.1083	39.9144
Cavern_20	center	-113.7911	36.6513
Cavern_21	center	-114.3911	36.3632
Cavern_22	center	-114.5043	35.5978
Cavern_23	center	-114.7036	35.5831
Cavern_24	center	-103.7052	37.6262
Cavern_3	center	-104.1132	41.9504
Cavern_4	center	-102.6689	38.0916
Cavern_5	center	-105.2517	33.4598
Cavern_6	center	-109.1564	41.5565
Cavern_7	center	-111.7807	39.3389
Cavern_8	center	-107.1172	39.7927
Cavern_9	center	-111.2009	42.2252
TAZ_100	center	-124.2184777	41.78892711
TAZ_1023	center	-122.3983239	37.77843758
TAZ_103	center	-123.8802323	41.8981542
TAZ_108	center	-123.7470377	40.57780141
TAZ_109	center	-123.7551974	41.15414774
TAZ_111	center	-123.8936475	40.92718433
TAZ_1157	center	-122.4017602	37.73519248
TAZ_1161	center	-122.4082128	37.7263905
TAZ_1179	center	-122.4501599	37.6781211
TAZ_1181	center	-122.4665822	37.69754142
TAZ_1182	center	-122.4639861	37.70524363
TAZ_1190	center	-122.3927901	37.7422432
TAZ_1193	center	-122.4180776	37.68557311
TAZ_1210	center	-122.4141186	37.53455212
TAZ_122	center	-120.5929877	40.86392502
TAZ_123	center	-120.9702566	40.51241261
TAZ_1237	center	-122.3683543	37.56687179
TAZ_124	center	-120.50484	40.43580844
TAZ_127	center	-120.1527092	40.13067992
TAZ_128	center	-120.5514718	41.50292368
TAZ_1283	center	-122.2999106	37.29036684
TAZ_129	center	-121.0986112	41.59615791
TAZ_1293	center	-122.3941221	37.66163151
TAZ_130	center	-120.5053709	41.57613233
TAZ_1309	center	-122.0638217	37.90762263
TAZ_131	center	-120.1205057	41.59801416
TAZ_1311	center	-122.0583628	37.89186233
TAZ_1314	center	-121.8191152	37.83228967
TAZ_1320	center	-122.1111206	37.97708732
TAZ_1341	center	-121.9343508	37.93294642
TAZ_1353	center	-121.7931413	38.00592094
TAZ_1357	center	-121.8367534	37.93433042
TAZ_1360	center	-121.7682585	38.00875491
